<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20171206,000000,69.4290000,69.9500000,69.3250000,69.8370000,116866
20171207,000000,69.8560000,69.9900000,69.5500000,69.6380000,122141
20171208,000000,69.6380000,69.8000000,69.3997000,69.5410000,114238
20171209,000000,69.5410000,69.6020000,69.4070000,69.5720000,975
20171210,000000,69.6950000,69.6950000,69.5180000,69.5290000,7
20171211,000000,69.5530000,69.9550000,68.7930000,69.3318000,94255
20171212,000000,69.4030000,69.6040000,69.1200000,69.5340000,79705
20171213,000000,69.5480000,69.6870000,68.8670000,69.2320000,72210
20171214,000000,69.2940000,69.6210000,69.0370000,69.3510000,86700
20171215,000000,69.3820000,69.6660000,69.0140000,69.1400000,79448
20171216,000000,69.1530000,69.1610000,68.9725000,69.1160000,319
20171217,000000,69.1150000,69.1190000,68.9657000,68.9687000,10
20171218,000000,69.1080000,69.3400000,68.7439000,69.0970000,76595
20171219,000000,69.0960000,69.6750000,69.0110000,69.5740000,78632
20171220,000000,69.5740000,69.8140000,69.3215000,69.6880000,59057
20171221,000000,69.7130000,69.7660000,69.1890000,69.3830000,64254
20171222,000000,69.4140000,69.4391000,68.8696000,69.1037000,40019
20171223,000000,69.1660000,69.2090000,68.9630000,69.1910000,255
20171224,000000,69.1360000,69.1360000,69.1360000,69.1360000,1
20171225,000000,69.0199000,69.2500000,68.5047000,68.8220000,1294
20171226,000000,68.8050000,69.2643000,68.2712000,68.2837000,31339
20171227,000000,68.3470000,68.9060000,68.0350000,68.7454000,67598
20171228,000000,68.8130000,68.8560000,68.3270000,68.5840000,38807
20171229,000000,68.6190000,69.4570000,68.4858000,69.2920000,74461
20171230,000000,69.1813000,69.3360000,68.8565000,69.1890000,228
20171231,000000,69.2100000,69.2100000,69.2100000,69.2100000,1
20180101,000000,69.1930000,69.6150000,69.1730000,69.2260000,235
20180102,000000,69.5490000,69.6240000,68.8251000,69.1640000,52915
20180103,000000,69.2520000,69.6890000,68.5910000,68.6450000,73549
20180104,000000,68.7430000,69.0192000,68.4150000,68.6360000,70948
20180105,000000,68.7000000,68.8480000,68.3980000,68.5630000,73605
20180106,000000,68.4760000,68.5676000,67.8916000,68.5070000,210
20180107,000000,68.6090000,68.6090000,68.4430000,68.4620000,13
20180108,000000,68.4000000,68.6700000,68.2090000,68.3465000,52292
20180109,000000,68.3440000,68.3910000,67.7100000,67.9590000,74909
20180110,000000,67.9716000,68.4860000,67.6750000,68.1390000,83714
20180111,000000,68.1550000,68.5010000,67.7630000,67.8750000,84729
20180112,000000,67.9040000,69.0330000,67.7710000,69.0130000,48858
20180113,000000,69.0420000,69.1799000,68.9220000,69.1260000,442
20180114,000000,68.7850000,69.0170000,68.7850000,68.9880000,7
20180115,000000,69.0960000,69.4580000,68.6270000,69.1509000,72952
20180116,000000,69.1790000,69.3900000,68.7930000,69.3668000,87366
20180117,000000,69.3920000,69.5949000,68.9950000,69.3406000,91547
20180118,000000,69.3460000,69.4283000,68.9340000,69.1500000,88897
20180119,000000,69.1750000,69.5470000,69.0630000,69.2900000,83665
20180120,000000,69.3030000,69.3763000,68.7363000,69.3430000,277
20180121,000000,69.2730000,69.4650000,69.2730000,69.4650000,4
20180122,000000,69.5580000,69.5580000,69.0230000,69.2237000,71873
20180123,000000,69.2290000,69.4250000,68.9060000,69.3090000,84304
20180124,000000,69.3470000,69.8540000,69.2200000,69.5650000,89269
20180125,000000,69.6160000,69.8990000,69.0290000,69.2730000,110428
20180126,000000,69.2790000,69.9510000,68.9950000,69.8340000,96403
20180127,000000,69.8250000,69.8980000,69.7580000,69.8690000,342
20180128,000000,69.8150000,69.8550000,69.8150000,69.8550000,8
20180129,000000,69.8020000,70.0574000,69.4710000,69.7370000,89372
20180130,000000,69.7520000,70.0520000,69.3050000,69.8710000,98136
20180131,000000,69.8900000,70.2290000,69.6240000,69.7520000,99114
